Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
67202782,The Great International Paper Airplane Book,5,"Mander, Jerry",,,,"Galahad Books (1998), Hardcover, 128 pages",1998,,,,,The Great International Paper Airplane Book by Jerry Mander (1998),Hardcover,128 p.; 12.1 inches,1.45 pounds,12.1 inches,0.8 inches,9.4 inches,12.1 x 9.4 x 0.8 inches,128 ,,,,,,,,Your library,,English,TL770 .M26,[1578660289],"[1578660289, 9781578660285]",Great International Paper Airplane Contest|Paper airplanes,700,Arts and Recreation > General Art > General Art,,1,amazon.com,2010-11-27,,,243179,,,,
67202786,"The Feynman Lectures on Physics: Commemorative Issue, Three Volume Set",5,"Feynman, Richard P.",,,,"Addison Wesley (1989), Edition: Commemorative ed, Hardcover, 1552 pages",1989,,,,,"The Feynman Lectures on Physics: Commemorative Issue, Three Volume Set by Richard P. Feynman (1989)",Hardcover,1552 p.; 11.8 inches,9.75 pounds,11.8 inches,3.2 inches,9.1 inches,11.8 x 9.1 x 3.2 inches,1552 ,,,,,,,,Your library,,English,QC23 .F47,[0201500647],"[0201500647, 9780201500646]",,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,8678838,,,,
67202807,The Funkmasters-the Great James Brown Rhythm Sections (Manhattan Music Publications),5,"Slutsky, Allan",,,,"Warner Bros Pubns (1997), Edition: 1, Paperback, 144 pages",1997,,,,,The Funkmasters-the Great James Brown Rhythm Sections (Manhattan Music Publications) by Allan Slutsky (1997),Paperback,144 p.; 11.73 inches,1.14 pounds,11.73 inches,0.37 inches,8.97 inches,11.73 x 8.97 x 0.37 inches,144 ,,,,,,,,Your library,,,,[1576234436],"[1576234436, 9781576234433]",,785.066,Arts and Recreation > Music > Orchestral,,1,amazon.com,2010-11-27,,,1508832,,,,
67202861,"Optics, 2nd Edition",1,"Hecht, Eugene",,,,"Addison-Wesley (1987), Edition: 2nd, Hardcover, 676 pages",1987,,,,,"Optics, 2nd Edition by Eugene Hecht (1987)",Hardcover,676 p.; 9.3 inches,3.3 pounds,9.3 inches,1.4 inches,8.6 inches,9.3 x 8.6 x 1.4 inches,676 ,,,,,,,,Your library,English,English,QC355.2 .H42,[020111609X],"[020111609X, 9780201116090]",Optics,535,Mathematics and Science > Optics > Physics,,1,amazon.com,2010-11-27,,,163153,,,,
67202874,Calculus Analytical Geometry,1,Edwards,,Penney,,"Prentice-Hall (1985), Hardcover, 895 pages",1985,,,,,Calculus Analytical Geometry by Edwards (1985),Hardcover,895 p.; 10 inches,3.75 pounds,10 inches,1.7 inches,8 inches,10 x 8 x 1.7 inches,895 ,,,,,,,,Your library,English,English,QA303 .E223,[0131116096],"[0131116096, 9780131116092]","Calculus|Geometry, Analytic",515.15,Analysis > Double curvd surfaces > Mathematics > Mathematics and Science > Orthogonal projections on 2 planes,,1,amazon.com,2010-11-27,,,707451,,,,
67202878,Factorization Methods for Discrete Sequential Estimation,1,"Bierman, Gerald J.",,,,"Dover Publications (2006), Paperback, 256 pages",2006,,,,,Factorization Methods for Discrete Sequential Estimation by Gerald J. Bierman (2006),Paperback,256 p.; 8.5 inches,0.59 pounds,8.5 inches,0.51 inches,5.52 inches,8.5 x 5.52 x 0.51 inches,256 ,,,,,,,,Your library,,,,[0486449815],"[0486449815, 9780486449814]",,519.544,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2010-11-27,,,3136226,,,,
67202881,Data Reduction and Error Analysis for The Physical Sciences,1,"Bevington, Philip R.",,,,"McGraw-Hill Companies (1992), Edition: Subsequent, Paperback, 328 pages",1992,,,,,Data Reduction and Error Analysis for The Physical Sciences by Philip R. Bevington (1992),Paperback,328 p.; 9.2 inches,1.15 pounds,9.2 inches,0.7 inches,6.4 inches,9.2 x 6.4 x 0.7 inches,328 ,,,,,,,,Your library,,English,QA278 .B48,[0079112439],"[0079112439, 9780079112439]",Data reduction|Error analysis (Mathematics)|Least squares|Multivariate Analysis|Multivariate analysis,511.43,Approximation Theory > General Principles > Mathematics > Mathematics and Science,,1,amazon.com,2010-11-27,,,91079,,,,
67202884,The Evolution of Useful Things: How Everyday Artifacts-From Forks and Pins to Paper Clips and Zippers-Came to be as They are,5,"Petroski, Henry",,,,"Vintage (1994), Edition: 1ST, Paperback, 304 pages",1994,,,,,The Evolution of Useful Things: How Everyday Artifacts-From Forks and Pins to Paper Clips and Zippers-Came to be as They are by Henry Petroski (1994),Paperback,304 p.; 7.96 inches,0.48 pounds,7.96 inches,0.65 inches,5.24 inches,7.96 x 5.24 x 0.65 inches,304 ,,,,,,,,Your library,,English,T212 .P465,[0679740392],"[0679740392, 9780679740391]","Design, Industrial|Inventions|Patents|patents",609,Biography And History > General Technology > Technology,,1,amazon.com,2010-11-27,,,1943752,,,,
67202903,"Radar Handbook, Third Edition",1,"Skolnik, Merrill",,,,"McGraw-Hill Professional (2008), Edition: 3, Hardcover, 1328 pages",2008,,,,,"Radar Handbook, Third Edition by Merrill Skolnik (2008)",Hardcover,1328 p.; 9.13 inches,4.76 pounds,9.13 inches,2.05 inches,6.3 inches,9.13 x 6.3 x 2.05 inches,1328 ,,,,,,,,Your library,,,TK6575 .R262,[0071485473],"[0071485473, 9780071485470]","Radar > Handbooks, manuals, etc",621.3848,"Electric engineering > Electronics, Communications. > Engineering > Mechanical Engineering and Machinery > Radar > Radar, Radio. > Technology",,1,amazon.com,2010-11-27,,,45969,,,,
67202978,Physical Chemistry,1,"Atkins, Peter",,,,"W.H. Freeman & Company (1985), Edition: 3rd, Hardcover, 857 pages",1985,,,,,Physical Chemistry by Peter Atkins (1985),Hardcover,857 p.; 10 inches,4.45 pounds,10 inches,1.7 inches,8.1 inches,10 x 8.1 x 1.7 inches,857 ,,,,,,,,Your library,English,English,QD453.2 .A88,[0716717492],"[0716717492, 9780716717492]","Chemistry, Physical and theoretical|Chemistry, Physical and theoretical > Textbooks",541.3,Chemistry > Mathematics and Science > Physical chemistry > Physical; Theoretical,,1,amazon.com,2010-11-27,,,136446,,,,
